Sensor Timestamp (ns), time.time(), time.perf_counter_ns()
496351965000.000000,1751478636.428193,496379494676.000000
496385288000.000000,1751478636.465079,496416379547.000000
496418611000.000000,1751478636.495163,496446463485.000000
496451931000.000000,1751478636.528330,496479630596.000000
496485254000.000000,1751478636.563433,496514733318.000000
496518573000.000000,1751478636.595036,496546336463.000000
496551895000.000000,1751478636.627753,496579053227.000000
496585216000.000000,1751478636.661205,496612505799.000000
496618537000.000000,1751478636.694328,496645627262.000000
496651859000.000000,1751478636.727657,496678956835.000000
496685180000.000000,1751478636.760928,496712227926.000000
496718502000.000000,1751478636.794468,496745767052.000000
496751824000.000000,1751478636.827787,496779086625.000000
496785147000.000000,1751478636.862736,496814037052.000000
496818468000.000000,1751478636.894422,496845721808.000000
496851789000.000000,1751478636.927788,496879087269.000000
496885111000.000000,1751478636.960913,496912212140.000000
496918431000.000000,1751478636.994344,496945642674.000000
496951755000.000000,1751478637.027595,496978894359.000000
496985077000.000000,1751478637.060927,497012227598.000000
497018395000.000000,1751478637.094197,497045496319.000000
497051719000.000000,1751478637.128604,497079904159.000000
497085041000.000000,1751478637.161222,497112521646.000000
497118360000.000000,1751478637.194558,497145857774.000000
497151684000.000000,1751478637.227551,497178850868.000000
497185005000.000000,1751478637.261029,497212329291.000000
497218326000.000000,1751478637.294295,497245594976.000000
497251647000.000000,1751478637.327385,497278684588.000000
497284967000.000000,1751478637.360823,497312123067.000000
497318289000.000000,1751478637.394036,497345335696.000000
497351611000.000000,1751478637.427562,497378861470.000000
497384933000.000000,1751478637.460910,497412209691.000000
497418255000.000000,1751478637.494155,497445455394.000000
497451575000.000000,1751478637.527441,497478739800.000000
497484898000.000000,1751478637.560779,497512078502.000000
497518219000.000000,1751478637.594127,497545426093.000000
497551542000.000000,1751478637.627351,497578650759.000000
497584863000.000000,1751478637.660782,497612082442.000000
497618183000.000000,1751478637.694062,497645361478.000000
497651504000.000000,1751478637.727320,497678619626.000000
497684824000.000000,1751478637.760731,497712030957.000000
497718148000.000000,1751478637.794655,497745954727.000000
497751469000.000000,1751478637.827473,497778772730.000000
497784791000.000000,1751478637.860888,497812187913.000000
497818112000.000000,1751478637.893992,497845292340.000000
497851433000.000000,1751478637.927429,497878729263.000000
497884755000.000000,1751478637.960654,497911953337.000000
497918079000.000000,1751478637.995247,497946547415.000000
497951398000.000000,1751478638.027264,497978563686.000000
497984721000.000000,1751478638.060795,498012095535.000000
498018040000.000000,1751478638.093944,498045243757.000000
498051362000.000000,1751478638.127237,498078537015.000000
498084683000.000000,1751478638.160538,498111837903.000000
498118006000.000000,1751478638.193868,498145168531.000000
498151329000.000000,1751478638.227158,498178457437.000000
498184649000.000000,1751478638.260554,498211853658.000000
498217970000.000000,1751478638.294567,498245866927.000000
498251291000.000000,1751478638.328172,498279471812.000000
498284612000.000000,1751478638.360324,498311623489.000000
498317935000.000000,1751478638.393759,498345058782.000000
498351256000.000000,1751478638.426972,498378271782.000000
498384575000.000000,1751478638.460349,498411648132.000000
498417898000.000000,1751478638.493727,498445027611.000000
498451218000.000000,1751478638.527023,498478321981.000000
498484540000.000000,1751478638.560217,498511516277.000000
498517860000.000000,1751478638.593764,498545064514.000000
498551183000.000000,1751478638.627045,498578344883.000000
498584505000.000000,1751478638.660372,498611671715.000000
498617826000.000000,1751478638.694100,498645399895.000000
498651146000.000000,1751478638.727174,498678473692.000000
498684469000.000000,1751478638.760470,498711769469.000000
498717789000.000000,1751478638.794029,498745327835.000000
498751111000.000000,1751478638.827129,498778428151.000000
498784435000.000000,1751478638.860468,498811767409.000000
498817755000.000000,1751478638.893912,498845211684.000000
498851076000.000000,1751478638.927271,498878571145.000000
498884397000.000000,1751478638.960381,498911681220.000000
498917718000.000000,1751478638.993725,498945025088.000000
498951039000.000000,1751478639.027446,498978745453.000000
498984362000.000000,1751478639.060361,499011660678.000000
499017684000.000000,1751478639.093525,499044824271.000000
499051005000.000000,1751478639.126827,499078126511.000000
499084325000.000000,1751478639.160111,499111410658.000000
499117648000.000000,1751478639.193510,499144809470.000000
499150970000.000000,1751478639.226789,499178088673.000000
499184289000.000000,1751478639.260161,499211460634.000000
499217612000.000000,1751478639.293455,499244755114.000000
499250933000.000000,1751478639.326814,499278113242.000000
499284255000.000000,1751478639.360066,499311366149.000000
499317576000.000000,1751478639.393425,499344724536.000000
499350897000.000000,1751478639.426722,499378021683.000000
499384218000.000000,1751478639.460021,499411319923.000000
499417541000.000000,1751478639.493386,499444685402.000000
499450862000.000000,1751478639.528309,499479608792.000000
499484184000.000000,1751478639.559972,499511271104.000000
499517505000.000000,1751478639.593317,499544617028.000000
499550825000.000000,1751478639.626630,499577929397.000000
499584147000.000000,1751478639.659983,499611282710.000000
499617471000.000000,1751478639.693250,499644549487.000000
499650789000.000000,1751478639.726631,499677930244.000000
499684113000.000000,1751478639.759924,499711223280.000000
499717434000.000000,1751478639.793165,499744464520.000000
499750754000.000000,1751478639.826813,499778113219.000000
499784077000.000000,1751478639.859791,499811090110.000000
499817397000.000000,1751478639.893253,499844552663.000000
499850720000.000000,1751478639.928523,499879823142.000000
499884041000.000000,1751478639.959874,499911173642.000000
499917363000.000000,1751478639.993295,499944595010.000000
499950685000.000000,1751478640.026589,499977888490.000000
499984004000.000000,1751478640.059998,500011297321.000000
500017327000.000000,1751478640.093176,500044475562.000000
500050649000.000000,1751478640.126519,500077818912.000000
500083971000.000000,1751478640.159769,500111069337.000000
500117289000.000000,1751478640.194332,500145631712.000000
500150612000.000000,1751478640.226501,500177800649.000000
500183934000.000000,1751478640.259748,500211048444.000000
500217255000.000000,1751478640.293027,500244326369.000000
500250576000.000000,1751478640.326477,500277776607.000000
500283898000.000000,1751478640.359722,500311021569.000000
