Sensor Timestamp (ns), time.time(), time.perf_counter_ns()
121088125000.000000,1752159948.272728,121115616399.000000
121121448000.000000,1752159948.313666,121156554403.000000
121154768000.000000,1752159948.341549,121184438119.000000
121188100000.000000,1752159948.373643,121216531600.000000
121221413000.000000,1752159948.406226,121249115443.000000
121254733000.000000,1752159948.441453,121284342392.000000
121288056000.000000,1752159948.472536,121315424667.000000
121321378000.000000,1752159948.505572,121348460373.000000
121354696000.000000,1752159948.539037,121381923350.000000
121388020000.000000,1752159948.572469,121415355754.000000
121421340000.000000,1752159948.605748,121448634956.000000
121454660000.000000,1752159948.639113,121482000102.000000
121487982000.000000,1752159948.672401,121515288637.000000
121521306000.000000,1752159948.705961,121548847928.000000
121554626000.000000,1752159948.741013,121583901009.000000
121587946000.000000,1752159948.773622,121616509222.000000
121621269000.000000,1752159948.805916,121648802867.000000
121654590000.000000,1752159948.838887,121681774722.000000
121687911000.000000,1752159948.872087,121714974648.000000
121721231000.000000,1752159948.905426,121748313368.000000
121754554000.000000,1752159948.938724,121781610866.000000
121787874000.000000,1752159948.972600,121815486670.000000
121821196000.000000,1752159949.005738,121848625282.000000
121854518000.000000,1752159949.038977,121881864226.000000
121887840000.000000,1752159949.072037,121914924358.000000
121921158000.000000,1752159949.105514,121948401520.000000
121954484000.000000,1752159949.138701,121981588483.000000
121987802000.000000,1752159949.171975,122014862204.000000
122021123000.000000,1752159949.205308,122048195221.000000
122054444000.000000,1752159949.238731,122081618402.000000
122087767000.000000,1752159949.271939,122114826421.000000
122121086000.000000,1752159949.305346,122148233510.000000
122154409000.000000,1752159949.338579,122181466546.000000
122187729000.000000,1752159949.371954,122214841414.000000
122221049000.000000,1752159949.405273,122248160468.000000
122254371000.000000,1752159949.438716,122281603797.000000
122287694000.000000,1752159949.471795,122314682706.000000
122321014000.000000,1752159949.505184,122348070777.000000
122354336000.000000,1752159949.538462,122381350146.000000
122387656000.000000,1752159949.571772,122414659256.000000
122420978000.000000,1752159949.605157,122448044012.000000
122454299000.000000,1752159949.638542,122481430102.000000
122487621000.000000,1752159949.671856,122514742655.000000
122520941000.000000,1752159949.705203,122548090801.000000
122554264000.000000,1752159949.738529,122581416299.000000
122587585000.000000,1752159949.771727,122614614225.000000
122620905000.000000,1752159949.805166,122648054073.000000
122654228000.000000,1752159949.838411,122681298868.000000
122687548000.000000,1752159949.872755,122715642665.000000
122720871000.000000,1752159949.905090,122747977142.000000
122754192000.000000,1752159949.938525,122781412138.000000
122787512000.000000,1752159949.971729,122814616564.000000
122820832000.000000,1752159950.004905,122847792583.000000
122854154000.000000,1752159950.038298,122881185005.000000
122887476000.000000,1752159950.071727,122914613631.000000
122920797000.000000,1752159950.105029,122947916407.000000
122954118000.000000,1752159950.138385,122981271720.000000
122987439000.000000,1752159950.171964,123014851288.000000
123020760000.000000,1752159950.206167,123049054586.000000
123054083000.000000,1752159950.238195,123081082179.000000
123087403000.000000,1752159950.273406,123116293239.000000
123120724000.000000,1752159950.310952,123153840595.000000
123154047000.000000,1752159950.343962,123186850320.000000
123187369000.000000,1752159950.378586,123221474408.000000
123220689000.000000,1752159950.410721,123253609351.000000
123254011000.000000,1752159950.443948,123286836592.000000
123287333000.000000,1752159950.477439,123320328791.000000
123320654000.000000,1752159950.510714,123353602567.000000
123353974000.000000,1752159950.544003,123386890955.000000
123387296000.000000,1752159950.577323,123420211693.000000
123420617000.000000,1752159950.610879,123453767910.000000
123453939000.000000,1752159950.643961,123486849708.000000
123487261000.000000,1752159950.677503,123520391906.000000
123520581000.000000,1752159950.710698,123553587054.000000
123553902000.000000,1752159950.744230,123587118790.000000
123587225000.000000,1752159950.777378,123620266198.000000
123620546000.000000,1752159950.810606,123653494901.000000
123653866000.000000,1752159950.844160,123687048581.000000
123687189000.000000,1752159950.877530,123720418300.000000
123720510000.000000,1752159950.911257,123754145755.000000
123753831000.000000,1752159950.944110,123786997742.000000
123787152000.000000,1752159950.977384,123820272926.000000
123820473000.000000,1752159951.010737,123853625238.000000
123853796000.000000,1752159951.044064,123886953403.000000
123887116000.000000,1752159951.077431,123920319252.000000
123920437000.000000,1752159951.110929,123953818099.000000
123953758000.000000,1752159951.144047,123986935804.000000
123987079000.000000,1752159951.177340,124020228302.000000
124020399000.000000,1752159951.212605,124055494306.000000
124053723000.000000,1752159951.244012,124086900816.000000
124087042000.000000,1752159951.277235,124120123557.000000
124120364000.000000,1752159951.310513,124153401500.000000
124153687000.000000,1752159951.343913,124186801534.000000
124187007000.000000,1752159951.377251,124220140031.000000
124220329000.000000,1752159951.410684,124253572972.000000
124253659000.000000,1752159951.443888,124286776750.000000
124286971000.000000,1752159951.477074,124319962565.000000
124320291000.000000,1752159951.510792,124353680853.000000
124353613000.000000,1752159951.543880,124386769040.000000
124386935000.000000,1752159951.577208,124420097853.000000
124420256000.000000,1752159951.612408,124455296987.000000
124453578000.000000,1752159951.643812,124486700738.000000
124486898000.000000,1752159951.677321,124520210066.000000
124520219000.000000,1752159951.710519,124553407955.000000
124553541000.000000,1752159951.743663,124586551734.000000
124586863000.000000,1752159951.777159,124620048081.000000
