Sensor Timestamp (ns), time.time(), time.perf_counter_ns()
4383264630000.000000,1752164210.449737,4383292625593.000000
4383297953000.000000,1752164211.814572,4384657461311.000000
4383331273000.000000,1752164211.815680,4384658568300.000000
4383364594000.000000,1752164211.816696,4384659584103.000000
4383397915000.000000,1752164211.817712,4384660598759.000000
4383431238000.000000,1752164211.818537,4384661422713.000000
4384697451000.000000,1752164211.952597,4384795491733.000000
4384730773000.000000,1752164211.968775,4384811666207.000000
4384764095000.000000,1752164211.983962,4384826849359.000000
4384797417000.000000,1752164211.999977,4384842863927.000000
4384830737000.000000,1752164212.016983,4384859869596.000000
4384864063000.000000,1752164212.048376,4384891262980.000000
4384897380000.000000,1752164212.081729,4384924615881.000000
4384930701000.000000,1752164212.115134,4384958021484.000000
4384964026000.000000,1752164212.148398,4384991284719.000000
4384997347000.000000,1752164212.181619,4385024506657.000000
4385030665000.000000,1752164212.214875,4385057762318.000000
4385063986000.000000,1752164212.248256,4385091143125.000000
4385097310000.000000,1752164212.281544,4385124430360.000000
4385130629000.000000,1752164212.314897,4385157784723.000000
4385163952000.000000,1752164212.349248,4385192135779.000000
4385197275000.000000,1752164212.381585,4385224471913.000000
4385230594000.000000,1752164212.414848,4385257735203.000000
4385263916000.000000,1752164212.447997,4385290883827.000000
4385297236000.000000,1752164212.481373,4385324259950.000000
4385330558000.000000,1752164212.514891,4385357777848.000000
4385363881000.000000,1752164212.548022,4385390908492.000000
4385397202000.000000,1752164212.581465,4385424351835.000000
4385430522000.000000,1752164212.614683,4385457570237.000000
4385463843000.000000,1752164212.648059,4385490946433.000000
4385497166000.000000,1752164212.681354,4385524241038.000000
4385530487000.000000,1752164212.714736,4385557623457.000000
4385563808000.000000,1752164212.748210,4385591097189.000000
4385597131000.000000,1752164212.781521,4385624408312.000000
4385630452000.000000,1752164212.814898,4385657785656.000000
4385663773000.000000,1752164212.847987,4385690874560.000000
4385697095000.000000,1752164212.881329,4385724215645.000000
4385730416000.000000,1752164212.914692,4385757578564.000000
4385763739000.000000,1752164212.947984,4385790870631.000000
4385797059000.000000,1752164212.981279,4385824165958.000000
4385830380000.000000,1752164213.014523,4385857409971.000000
4385863700000.000000,1752164213.047799,4385890686298.000000
4385897022000.000000,1752164213.082474,4385925361628.000000
4385930345000.000000,1752164213.114624,4385957511579.000000
4385963669000.000000,1752164213.147798,4385990685055.000000
4385996986000.000000,1752164213.181245,4386024132751.000000
4386030308000.000000,1752164213.214413,4386057300060.000000
4386063628000.000000,1752164213.247824,4386090710571.000000
4386096952000.000000,1752164213.281175,4386124062545.000000
4386130271000.000000,1752164213.315109,4386157996421.000000
4386163596000.000000,1752164213.348552,4386191442931.000000
4386196916000.000000,1752164213.382182,4386225069440.000000
4386230237000.000000,1752164213.414488,4386257375185.000000
4386263560000.000000,1752164213.447765,4386290652178.000000
4386296880000.000000,1752164213.481090,4386323976431.000000
4386330201000.000000,1752164213.514429,4386357316146.000000
4386363522000.000000,1752164213.547758,4386390644787.000000
4386396843000.000000,1752164213.581073,4386423960373.000000
4386430164000.000000,1752164213.614417,4386457304274.000000
4386463487000.000000,1752164213.647829,4386490716562.000000
4386496809000.000000,1752164213.681254,4386524141091.000000
4386530130000.000000,1752164213.714783,4386557670953.000000
4386563451000.000000,1752164213.747687,4386590573599.000000
4386596773000.000000,1752164213.781052,4386623938888.000000
4386630094000.000000,1752164213.814493,4386657379639.000000
4386663416000.000000,1752164213.847970,4386690857408.000000
4386696736000.000000,1752164213.880972,4386723858646.000000
4386730061000.000000,1752164213.914391,4386757278656.000000
4386763383000.000000,1752164213.947998,4386790885128.000000
4386796701000.000000,1752164213.981035,4386823922180.000000
4386830022000.000000,1752164214.014286,4386857174118.000000
4386863344000.000000,1752164214.047495,4386890382113.000000
4386896664000.000000,1752164214.080777,4386923663643.000000
4386929986000.000000,1752164214.114264,4386957151283.000000
4386963308000.000000,1752164214.147473,4386990359759.000000
4386996628000.000000,1752164214.180754,4387023641086.000000
4387029949000.000000,1752164214.243071,4387085958452.000000
4387063270000.000000,1752164214.396769,4387239656742.000000
4387096593000.000000,1752164214.414514,4387257402588.000000
4387129914000.000000,1752164214.437484,4387280372082.000000
4387163235000.000000,1752164214.455149,4387298037484.000000
4387196557000.000000,1752164214.624273,4387467160886.000000
4387396484000.000000,1752164214.641371,4387484258332.000000
4387429807000.000000,1752164214.767775,4387610661472.000000
4387463128000.000000,1752164214.784252,4387627138257.000000
4387496451000.000000,1752164214.801044,4387643930076.000000
4387563090000.000000,1752164214.828871,4387671758055.000000
4387629734000.000000,1752164215.033852,4387876739274.000000
4387763018000.000000,1752164215.050948,4387893835905.000000
4387796343000.000000,1752164215.072631,4387915517487.000000
4387829663000.000000,1752164215.089378,4387932263603.000000
4387862985000.000000,1752164215.213473,4388056360804.000000
4387996270000.000000,1752164215.230036,4388072922219.000000
4388029592000.000000,1752164215.390329,4388233215623.000000
4388062913000.000000,1752164215.422550,4388265436869.000000
4388096234000.000000,1752164215.444039,4388286926304.000000
4388229519000.000000,1752164215.573602,4388416489447.000000
4388262842000.000000,1752164215.585405,4388428291042.000000
4388362805000.000000,1752164215.756043,4388598929780.000000
4388396127000.000000,1752164215.772531,4388615418398.000000
4388429449000.000000,1752164215.794433,4388637319626.000000
4388529413000.000000,1752164215.810848,4388653734597.000000
4388596055000.000000,1752164215.943284,4388786170913.000000
4388729341000.000000,1752164215.965317,4388808205046.000000
4388762665000.000000,1752164216.050761,4388893648034.000000
4388795985000.000000,1752164216.067196,4388910082616.000000
4388829306000.000000,1752164216.084334,4388927221580.000000
4388895950000.000000,1752164216.215856,4389058742646.000000
4388929270000.000000,1752164216.232536,4389075422614.000000
4389029233000.000000,1752164216.365493,4389208380257.000000
4389062556000.000000,1752164216.387595,4389230481575.000000
4389095877000.000000,1752164216.414673,4389257559469.000000
4389195840000.000000,1752164216.527327,4389370213793.000000
4389229163000.000000,1752164216.544024,4389386911743.000000
4389329126000.000000,1752164216.571382,4389414269467.000000
4389362449000.000000,1752164216.732835,4389575722230.000000
4389395770000.000000,1752164216.755066,4389597953453.000000
4389495733000.000000,1752164216.777142,4389620027938.000000
4389529056000.000000,1752164216.793470,4389636357670.000000
4389562377000.000000,1752164216.966961,4389809847617.000000
4389728983000.000000,1752164216.983606,4389826493642.000000
4389762306000.000000,1752164217.128726,4389971612950.000000
4389795627000.000000,1752164217.151445,4389994332169.000000
4389828949000.000000,1752164217.167869,4390010755862.000000
4389928912000.000000,1752164217.194686,4390037572574.000000
4389962235000.000000,1752164217.301403,4390144290203.000000
4390128841000.000000,1752164217.489351,4390332238439.000000
4390162162000.000000,1752164217.505828,4390348715818.000000
4390195484000.000000,1752164217.522962,4390365848763.000000
4390228805000.000000,1752164217.539592,4390382478750.000000
4390328768000.000000,1752164217.747995,4390590881174.000000
4390462053000.000000,1752164217.759667,4390602553937.000000
4390495376000.000000,1752164217.863556,4390706443467.000000
4390528697000.000000,1752164217.880612,4390723499506.000000
4390562019000.000000,1752164217.897643,4390740530564.000000
4390661981000.000000,1752164218.010316,4390853202795.000000
4390695304000.000000,1752164218.027766,4390870652663.000000
4390828590000.000000,1752164218.159063,4391001949935.000000
4390861912000.000000,1752164218.170963,4391013850474.000000
4390895235000.000000,1752164218.172480,4391015367346.000000
4390928555000.000000,1752164218.188903,4391031790892.000000
4390995197000.000000,1752164218.360738,4391203624728.000000
4391095159000.000000,1752164218.398775,4391241661596.000000
4391128482000.000000,1752164218.420686,4391263573342.000000
4391161803000.000000,1752164218.441746,4391284632504.000000
4391195126000.000000,1752164218.599608,4391442494638.000000
4391361731000.000000,1752164218.617107,4391459994728.000000
4391395052000.000000,1752164218.729308,4391572194964.000000
4391428374000.000000,1752164218.746014,4391588900507.000000
4391461697000.000000,1752164218.767640,4391610526978.000000
4391561660000.000000,1752164218.884834,4391727720920.000000
4391594982000.000000,1752164218.901533,4391744420037.000000
4391694945000.000000,1752164219.024313,4391867200160.000000
4391728267000.000000,1752164219.041060,4391883947146.000000
4391761589000.000000,1752164219.062974,4391905861003.000000
4391828232000.000000,1752164219.094926,4391937812733.000000
4391861553000.000000,1752164219.208606,4392051493380.000000
4392028160000.000000,1752164219.318003,4392160889517.000000
4392061482000.000000,1752164219.330099,4392172985980.000000
4392094803000.000000,1752164219.341719,4392184605466.000000
4392128124000.000000,1752164219.456135,4392299022846.000000
4392161446000.000000,1752164219.472258,4392315145116.000000
4392294731000.000000,1752164219.646082,4392488969375.000000
4392328054000.000000,1752164219.657985,4392500871858.000000
4392361376000.000000,1752164219.674516,4392517402699.000000
4392428018000.000000,1752164219.804874,4392647762555.000000
4392461338000.000000,1752164219.826994,4392669880706.000000
4392627946000.000000,1752164219.972442,4392815330159.000000
4392661268000.000000,1752164219.989410,4392832297662.000000
4392694589000.000000,1752164220.011142,4392854028965.000000
4392794554000.000000,1752164220.138858,4392981745220.000000
4392827876000.000000,1752164220.150745,4392993631944.000000
4392961160000.000000,1752164220.266126,4393109012795.000000
4392994483000.000000,1752164220.283169,4393126056482.000000
4393027803000.000000,1752164220.295380,4393138267017.000000
4393094446000.000000,1752164220.444181,4393287068100.000000
4393127768000.000000,1752164220.465868,4393308754941.000000
