Sensor Timestamp (ns), time.time(), time.perf_counter_ns()
2719391530000.000000,1752162546.576165,2719419054217.000000
2719424854000.000000,1752162546.610722,2719453610810.000000
2719458173000.000000,1752162546.643960,2719486849047.000000
2719491495000.000000,1752162546.676090,2719518978406.000000
2719524817000.000000,1752162546.709257,2719552146181.000000
2719558138000.000000,1752162546.742747,2719585635582.000000
2719591460000.000000,1752162546.775723,2719618610729.000000
2719624779000.000000,1752162546.809110,2719651998760.000000
2719658101000.000000,1752162546.842289,2719685176979.000000
2719691422000.000000,1752162546.875580,2719718466863.000000
2719724743000.000000,1752162546.908908,2719751795247.000000
2719758065000.000000,1752162546.943142,2719786029141.000000
2719791387000.000000,1752162546.975683,2719818570625.000000
2719824709000.000000,1752162547.008921,2719851808047.000000
2719858030000.000000,1752162547.042388,2719885274930.000000
2719891353000.000000,1752162547.075565,2719918452297.000000
2719924672000.000000,1752162547.108987,2719951873921.000000
2719957995000.000000,1752162547.142131,2719985018788.000000
2719991315000.000000,1752162547.175635,2720018521819.000000
2720024637000.000000,1752162547.208719,2720051606705.000000
2720057958000.000000,1752162547.242596,2720085483343.000000
2720091281000.000000,1752162547.276145,2720119031706.000000
2720124603000.000000,1752162547.308990,2720151877688.000000
2720157924000.000000,1752162547.342255,2720185141702.000000
2720191246000.000000,1752162547.375564,2720218450753.000000
2720224569000.000000,1752162547.408978,2720251864988.000000
2720257887000.000000,1752162547.442148,2720285035040.000000
2720291210000.000000,1752162547.475437,2720318323684.000000
2720324531000.000000,1752162547.508757,2720351644586.000000
2720357853000.000000,1752162547.542100,2720384987840.000000
2720391174000.000000,1752162547.575258,2720418144634.000000
2720424494000.000000,1752162547.608677,2720451564369.000000
2720457817000.000000,1752162547.642118,2720485004788.000000
2720491140000.000000,1752162547.675362,2720518249488.000000
2720524460000.000000,1752162547.708663,2720551550761.000000
2720557783000.000000,1752162547.741948,2720584834646.000000
2720591101000.000000,1752162547.775329,2720618215900.000000
2720624424000.000000,1752162547.808822,2720651708726.000000
2720657746000.000000,1752162547.841938,2720684824798.000000
2720691065000.000000,1752162547.875211,2720718098608.000000
2720724386000.000000,1752162547.908638,2720751524639.000000
2720757711000.000000,1752162547.941969,2720784856875.000000
2720791031000.000000,1752162547.975334,2720818220740.000000
2720824353000.000000,1752162548.008491,2720851378330.000000
2720857672000.000000,1752162548.041923,2720884809713.000000
2720890996000.000000,1752162548.075272,2720918158856.000000
2720924316000.000000,1752162548.108827,2720951713775.000000
2720957639000.000000,1752162548.141898,2720984784920.000000
2720990959000.000000,1752162548.175339,2721018226544.000000
2721024283000.000000,1752162548.208620,2721051506892.000000
2721057602000.000000,1752162548.241871,2721084758128.000000
2721090922000.000000,1752162548.275222,2721118108456.000000
2721124248000.000000,1752162548.308432,2721151318897.000000
2721157568000.000000,1752162548.341963,2721184849909.000000
2721190889000.000000,1752162548.376389,2721219276022.000000
2721224210000.000000,1752162548.408429,2721251315642.000000
2721257531000.000000,1752162548.441752,2721284638859.000000
2721290851000.000000,1752162548.475062,2721317949299.000000
2721324175000.000000,1752162548.509543,2721352429764.000000
2721357496000.000000,1752162548.541631,2721384517734.000000
2721390815000.000000,1752162548.574926,2721417812971.000000
2721424136000.000000,1752162548.608418,2721451304779.000000
2721457460000.000000,1752162548.641587,2721484474164.000000
2721490779000.000000,1752162548.674930,2721517817141.000000
2721524102000.000000,1752162548.708285,2721551171765.000000
2721557425000.000000,1752162548.741661,2721584547945.000000
2721590744000.000000,1752162548.776873,2721619759773.000000
2721624066000.000000,1752162548.808205,2721651091788.000000
2721657387000.000000,1752162548.841515,2721684401802.000000
2721690708000.000000,1752162548.874932,2721717818871.000000
2721724032000.000000,1752162548.908192,2721751078996.000000
2721757353000.000000,1752162548.941483,2721784369640.000000
2721790672000.000000,1752162548.974824,2721817711079.000000
2721823994000.000000,1752162549.008345,2721851231609.000000
2721857319000.000000,1752162549.041538,2721884424624.000000
2721890637000.000000,1752162549.074896,2721917783378.000000
2721923962000.000000,1752162549.108124,2721951011375.000000
2721957280000.000000,1752162549.141405,2721984291870.000000
2721990601000.000000,1752162549.174759,2722017646272.000000
2722023922000.000000,1752162549.208007,2722050893861.000000
2722057244000.000000,1752162549.241338,2722084225097.000000
2722090565000.000000,1752162549.274790,2722117677480.000000
2722123890000.000000,1752162549.308051,2722150938438.000000
2722157211000.000000,1752162549.341413,2722184299840.000000
2722190530000.000000,1752162549.374759,2722217647354.000000
2722223853000.000000,1752162549.408110,2722250997201.000000
2722257174000.000000,1752162549.441305,2722284192419.000000
2722290494000.000000,1752162549.474641,2722317527933.000000
2722323817000.000000,1752162549.507927,2722350813780.000000
2722357137000.000000,1752162549.541389,2722384275978.000000
2722390458000.000000,1752162549.574731,2722417617991.000000
2722423782000.000000,1752162549.608007,2722450893913.000000
2722457103000.000000,1752162549.641329,2722484216241.000000
2722490423000.000000,1752162549.674679,2722517565996.000000
2722523748000.000000,1752162549.707925,2722550811732.000000
2722557066000.000000,1752162549.741341,2722584228671.000000
2722590386000.000000,1752162549.774611,2722617497926.000000
2722623709000.000000,1752162549.808067,2722650954698.000000
2722657032000.000000,1752162549.841232,2722684119546.000000
2722690351000.000000,1752162549.874589,2722717476745.000000
2722723675000.000000,1752162549.908558,2722751444696.000000
2722756995000.000000,1752162549.941084,2722783971255.000000
2722790315000.000000,1752162549.974580,2722817467415.000000
2722823638000.000000,1752162550.009985,2722852871241.000000
2722856958000.000000,1752162550.041053,2722883939759.000000
2722890280000.000000,1752162550.074496,2722917382512.000000
2722923604000.000000,1752162550.107843,2722950729433.000000
2722956925000.000000,1752162550.141031,2722983918078.000000
2722990244000.000000,1752162550.174495,2723017382609.000000
2723023568000.000000,1752162550.208319,2723051206080.000000
2723056888000.000000,1752162550.240967,2723083854175.000000
2723090209000.000000,1752162550.274398,2723117285465.000000
2723123533000.000000,1752162550.307627,2723150514073.000000
2723156851000.000000,1752162550.366585,2723209472363.000000
2723190173000.000000,1752162550.466641,2723309528051.000000
2723223495000.000000,1752162550.483076,2723325963218.000000
2723256815000.000000,1752162550.504793,2723347680461.000000
2723290138000.000000,1752162550.666128,2723509016101.000000
2723323459000.000000,1752162550.693496,2723536382694.000000
2723456743000.000000,1752162550.720943,2723563830008.000000
2723490067000.000000,1752162550.840295,2723683181926.000000
2723523387000.000000,1752162550.857448,2723700335067.000000
2723656672000.000000,1752162550.992307,2723835193939.000000
2723689995000.000000,1752162551.019260,2723862146832.000000
2723723317000.000000,1752162551.035245,2723878132059.000000
2723789957000.000000,1752162551.062128,2723905014583.000000
2723856601000.000000,1752162551.192619,2724035506055.000000
2723989886000.000000,1752162551.209210,2724052096664.000000
2724023209000.000000,1752162551.353896,2724196782900.000000
2724056530000.000000,1752162551.370573,2724213459582.000000
2724089851000.000000,1752162551.392393,2724235280009.000000
2724156494000.000000,1752162551.408664,2724251550881.000000
2724189816000.000000,1752162551.600824,2724443711375.000000
2724323102000.000000,1752162551.622745,2724465632097.000000
2724356422000.000000,1752162551.650224,2724493111115.000000
2724389744000.000000,1752162551.779941,2724622827465.000000
2724423066000.000000,1752162551.792454,2724635340708.000000
2724556350000.000000,1752162551.809059,2724651946540.000000
2724589674000.000000,1752162551.949762,2724792649316.000000
2724622996000.000000,1752162551.977059,2724819945965.000000
2724722959000.000000,1752162552.004166,2724847052764.000000
2724756280000.000000,1752162552.106515,2724949402003.000000
2724789602000.000000,1752162552.117874,2724960761165.000000
2724922887000.000000,1752162552.228336,2725071223896.000000
2724956209000.000000,1752162552.240137,2725083023980.000000
2724989531000.000000,1752162552.246716,2725089602043.000000
2725056173000.000000,1752162552.385012,2725227898769.000000
2725089495000.000000,1752162552.401666,2725244552989.000000
2725189460000.000000,1752162552.428903,2725271789583.000000
2725222781000.000000,1752162552.561600,2725404488051.000000
