Sensor Timestamp (ns), time.time(), time.perf_counter_ns()
170188571000.000000,1751987452.789078,170224664951.000000
170221893000.000000,1751987452.829661,170265245588.000000
170255220000.000000,1751987452.853525,170289110594.000000
170288536000.000000,1751987452.886729,170322314840.000000
170321856000.000000,1751987452.919685,170355270126.000000
170355179000.000000,1751987452.953121,170388706111.000000
170388500000.000000,1751987452.985930,170421515047.000000
170421822000.000000,1751987453.019245,170454830108.000000
170455142000.000000,1751987453.052337,170487920226.000000
170488465000.000000,1751987453.085879,170521461802.000000
170521786000.000000,1751987453.119379,170554962361.000000
170555109000.000000,1751987453.152807,170588390494.000000
170588430000.000000,1751987453.186199,170621782035.000000
170621749000.000000,1751987453.219485,170655068411.000000
170655072000.000000,1751987453.252903,170688486526.000000
170688392000.000000,1751987453.286160,170721743328.000000
170721714000.000000,1751987453.319469,170755051833.000000
170755035000.000000,1751987453.353711,170789294050.000000
170788359000.000000,1751987453.385727,170821309994.000000
170821680000.000000,1751987453.419313,170854897070.000000
170855002000.000000,1751987453.455333,170890915919.000000
170888321000.000000,1751987453.485799,170921381674.000000
170921645000.000000,1751987453.519495,170955078471.000000
170954964000.000000,1751987453.552635,170988218256.000000
170988285000.000000,1751987453.585939,171021522335.000000
171021607000.000000,1751987453.619351,171054934894.000000
171054930000.000000,1751987453.652526,171088108808.000000
171088251000.000000,1751987453.685792,171121375072.000000
171121573000.000000,1751987453.719114,171154696836.000000
171154895000.000000,1751987453.752802,171188385967.000000
171188216000.000000,1751987453.785784,171221366975.000000
171221544000.000000,1751987453.819193,171254775664.000000
171254859000.000000,1751987453.855106,171290688051.000000
171288178000.000000,1751987453.885799,171321381396.000000
171321499000.000000,1751987453.919397,171354981065.000000
171354821000.000000,1751987453.952407,171387990388.000000
171388143000.000000,1751987453.985847,171421429095.000000
171421464000.000000,1751987454.019509,171455092560.000000
171454785000.000000,1751987454.052533,171488117715.000000
171488108000.000000,1751987454.085816,171521398109.000000
171521430000.000000,1751987454.119081,171554663985.000000
171554753000.000000,1751987454.152611,171588195340.000000
171588073000.000000,1751987454.185953,171621535622.000000
171621394000.000000,1751987454.219024,171654607277.000000
171654715000.000000,1751987454.252339,171687921597.000000
171688036000.000000,1751987454.285612,171721195195.000000
171721358000.000000,1751987454.319931,171755514375.000000
171754682000.000000,1751987454.353422,171789005749.000000
171788002000.000000,1751987454.386775,171822357901.000000
171821324000.000000,1751987454.419435,171855018227.000000
171854645000.000000,1751987454.452592,171888176271.000000
171887967000.000000,1751987454.485879,171921462220.000000
171921288000.000000,1751987454.519969,171955552940.000000
171954609000.000000,1751987454.553353,171988936814.000000
171987931000.000000,1751987454.590097,172025680989.000000
172021251000.000000,1751987454.620712,172056295613.000000
172054574000.000000,1751987454.652178,172087762006.000000
172087895000.000000,1751987454.685511,172121093622.000000
172121217000.000000,1751987454.720361,172155945130.000000
172154539000.000000,1751987454.752248,172187830223.000000
172187860000.000000,1751987454.785626,172221208691.000000
172221181000.000000,1751987454.818998,172254581084.000000
172254503000.000000,1751987454.852069,172287651850.000000
172287824000.000000,1751987454.885550,172321132890.000000
172321144000.000000,1751987454.918752,172354334674.000000
172354467000.000000,1751987454.952147,172387729808.000000
172387788000.000000,1751987454.987169,172422753055.000000
172421111000.000000,1751987455.018776,172454359206.000000
172454432000.000000,1751987455.052144,172487727081.000000
172487753000.000000,1751987455.085650,172521233010.000000
172521074000.000000,1751987455.121817,172557399320.000000
172554395000.000000,1751987455.153068,172588650660.000000
172587717000.000000,1751987455.186353,172621937110.000000
172621037000.000000,1751987455.221556,172657139244.000000
172654360000.000000,1751987455.252192,172687774590.000000
172687681000.000000,1751987455.285491,172721073984.000000
172721002000.000000,1751987455.318583,172754165713.000000
172754324000.000000,1751987455.351961,172787544329.000000
172787646000.000000,1751987455.385649,172821231070.000000
172820966000.000000,1751987455.418962,172854544853.000000
172854289000.000000,1751987455.452285,172887868413.000000
172887610000.000000,1751987455.485834,172921417972.000000
172920931000.000000,1751987455.519213,172954797031.000000
172954252000.000000,1751987455.552103,172987686188.000000
172987573000.000000,1751987455.585506,173021089878.000000
173020894000.000000,1751987455.618924,173054508067.000000
173054217000.000000,1751987455.651873,173087456316.000000
173087537000.000000,1751987455.685253,173120835413.000000
173120860000.000000,1751987455.722323,173157906140.000000
173154180000.000000,1751987455.753094,173188677355.000000
173187502000.000000,1751987455.786314,173221896953.000000
173220824000.000000,1751987455.822552,173258135725.000000
173254144000.000000,1751987455.852902,173288485056.000000
173287466000.000000,1751987455.885165,173320748460.000000
173320789000.000000,1751987455.921235,173356817919.000000
173354111000.000000,1751987455.951951,173387533672.000000
173387431000.000000,1751987455.985592,173421175562.000000
173420752000.000000,1751987456.019357,173454939489.000000
173454074000.000000,1751987456.052642,173488224957.000000
173487395000.000000,1751987456.085921,173521503925.000000
173520716000.000000,1751987456.119460,173555043779.000000
173554038000.000000,1751987456.152760,173588342988.000000
173587359000.000000,1751987456.186128,173621710270.000000
173620681000.000000,1751987456.219566,173655149126.000000
173654004000.000000,1751987456.253129,173688711535.000000
173687325000.000000,1751987456.286534,173722116595.000000
173720646000.000000,1751987456.320178,173755760522.000000
173753968000.000000,1751987456.353436,173789019028.000000
173787289000.000000,1751987456.386905,173822488846.000000
173820611000.000000,1751987456.420516,173856099737.000000
173853933000.000000,1751987456.453782,173889364446.000000
173887255000.000000,1751987456.487807,173923389833.000000
173920576000.000000,1751987456.520593,173956176046.000000
173953897000.000000,1751987456.554740,173990323080.000000
173987218000.000000,1751987456.587483,174023066350.000000
174020540000.000000,1751987456.620554,174056137487.000000
174053860000.000000,1751987456.653552,174089135680.000000
174087184000.000000,1751987456.686844,174122427148.000000
174120504000.000000,1751987456.720281,174155863744.000000
174153826000.000000,1751987456.753557,174189140360.000000
174187147000.000000,1751987456.787069,174222651900.000000
174220468000.000000,1751987456.818291,174253874926.000000
174253792000.000000,1751987456.851369,174286953340.000000
174287114000.000000,1751987456.884689,174320272419.000000
174320433000.000000,1751987456.918223,174353805903.000000
174353755000.000000,1751987456.951548,174387131741.000000
174387076000.000000,1751987456.984610,174420192360.000000
174420397000.000000,1751987457.018105,174453687955.000000
174453719000.000000,1751987457.051198,174486781111.000000
174487041000.000000,1751987457.084591,174520175485.000000
174520362000.000000,1751987457.117867,174553450824.000000
174553684000.000000,1751987457.151655,174587238287.000000
174587006000.000000,1751987457.184407,174619991519.000000
174620325000.000000,1751987457.217923,174653506652.000000
174653648000.000000,1751987457.255401,174690985782.000000
174686969000.000000,1751987457.284609,174720192531.000000
174720291000.000000,1751987457.317717,174753301112.000000
174753613000.000000,1751987457.351129,174786711783.000000
174786934000.000000,1751987457.384141,174819724513.000000
174820254000.000000,1751987457.417620,174853202924.000000
174853577000.000000,1751987457.450898,174886480244.000000
174886899000.000000,1751987457.484069,174919651916.000000
174920218000.000000,1751987457.517644,174953227159.000000
