Sensor Timestamp (ns), time.time(), time.perf_counter_ns()
2766142302000.000000,1752162593.326915,2766169805018.000000
2766175624000.000000,1752162593.360565,2766203452936.000000
2766208947000.000000,1752162593.395655,2766238543653.000000
2766242267000.000000,1752162593.426906,2766269794096.000000
2766275590000.000000,1752162593.460046,2766302934426.000000
2766308912000.000000,1752162593.493611,2766336499641.000000
2766342233000.000000,1752162593.526477,2766369365381.000000
2766375552000.000000,1752162593.559783,2766402671636.000000
2766408874000.000000,1752162593.593187,2766436074779.000000
2766442195000.000000,1752162593.626405,2766469292849.000000
2766475517000.000000,1752162593.659939,2766502825749.000000
2766508839000.000000,1752162593.695347,2766538234279.000000
2766542159000.000000,1752162593.726533,2766569420259.000000
2766575482000.000000,1752162593.760044,2766602931567.000000
2766608804000.000000,1752162593.793315,2766636202192.000000
2766642126000.000000,1752162593.826854,2766669741778.000000
2766675447000.000000,1752162593.860130,2766703016885.000000
2766708770000.000000,1752162593.893049,2766735936125.000000
2766742089000.000000,1752162593.926423,2766769309490.000000
2766775413000.000000,1752162593.960005,2766802892278.000000
2766808733000.000000,1752162593.993208,2766836095071.000000
2766842054000.000000,1752162594.027237,2766870125022.000000
2766875376000.000000,1752162594.059951,2766902838116.000000
2766908697000.000000,1752162594.093255,2766936141963.000000
2766942020000.000000,1752162594.126365,2766969252812.000000
2766975340000.000000,1752162594.159809,2767002696955.000000
2767008660000.000000,1752162594.192891,2767035777804.000000
2767041983000.000000,1752162594.226277,2767069164002.000000
2767075307000.000000,1752162594.259504,2767102391072.000000
2767108624000.000000,1752162594.293038,2767135924954.000000
2767141947000.000000,1752162594.326183,2767169070618.000000
2767175270000.000000,1752162594.360175,2767203062718.000000
2767208590000.000000,1752162594.393050,2767235937606.000000
2767241912000.000000,1752162594.426400,2767269287286.000000
2767275233000.000000,1752162594.459653,2767302539801.000000
2767308554000.000000,1752162594.492952,2767335838518.000000
2767341877000.000000,1752162594.526292,2767369178902.000000
2767375196000.000000,1752162594.559674,2767402561434.000000
2767408518000.000000,1752162594.592871,2767435757912.000000
2767441841000.000000,1752162594.626209,2767469096351.000000
2767475162000.000000,1752162594.659504,2767502390884.000000
2767508482000.000000,1752162594.692822,2767535709527.000000
2767541804000.000000,1752162594.726224,2767569111651.000000
2767575126000.000000,1752162594.759439,2767602326147.000000
2767608447000.000000,1752162594.792822,2767635709216.000000
2767641770000.000000,1752162594.826303,2767669189339.000000
2767675090000.000000,1752162594.859277,2767702164190.000000
2767708410000.000000,1752162594.892633,2767735519999.000000
2767741733000.000000,1752162594.927958,2767770845419.000000
2767775053000.000000,1752162594.959442,2767802328840.000000
2767808375000.000000,1752162594.992537,2767835424374.000000
2767841697000.000000,1752162595.026020,2767868907035.000000
2767875019000.000000,1752162595.059283,2767902170438.000000
2767908340000.000000,1752162595.092597,2767935483822.000000
2767941662000.000000,1752162595.125925,2767968812688.000000
2767974983000.000000,1752162595.159348,2768002234978.000000
2768008306000.000000,1752162595.192645,2768035532788.000000
2768041627000.000000,1752162595.226849,2768069736552.000000
2768074947000.000000,1752162595.260092,2768102979493.000000
2768108268000.000000,1752162595.292442,2768135329220.000000
2768141589000.000000,1752162595.325751,2768168637400.000000
2768174910000.000000,1752162595.359121,2768202008766.000000
2768208233000.000000,1752162595.392447,2768235334279.000000
2768241556000.000000,1752162595.425792,2768268679496.000000
2768274878000.000000,1752162595.459114,2768302001288.000000
2768308197000.000000,1752162595.492461,2768335347709.000000
2768341518000.000000,1752162595.525768,2768368655204.000000
2768374840000.000000,1752162595.559071,2768401958273.000000
2768408161000.000000,1752162595.592370,2768435257028.000000
2768441484000.000000,1752162595.625633,2768468520228.000000
2768474804000.000000,1752162595.659029,2768501915963.000000
2768508127000.000000,1752162595.692343,2768535230365.000000
2768541447000.000000,1752162595.725701,2768568588120.000000
2768574768000.000000,1752162595.759059,2768601946429.000000
